DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg
66506;1;2014;5;BXGLKX1;1.00;680.91;687.03;789.00;;2581;;
13664;1;2014;5;235056;3.00;140.47;142.46;170.50;;2581;;
255;1;2014;5;3АВ73;4.00;511.53;514.50;616.00;;2581;;
44799;1;2014;5;2250113;2.00;188.91;172.65;210.00;;2581;;
66328;1;2014;5;AW790;5.00;97.26;97.98;117.40;;2581;;
44693;1;2014;5;483096;2.00;483.38;477.15;573.80;;2581;;
66765;1;2014;5;РА6845;1.00;709.93;744.21;850.00;;2581;;
50897;1;2014;5;F3B049A;5.00;57.29;55.48;66.90;;120874;;
44667;1;2014;5;81213;10.00;авг.36;сен.55;ноя.60;;дек.30;;
51260;1;2014;5;16227313;2.00;237.53;251.74;299.00;;120874;;
24;1;2014;5;100314;10.00;13.54;13.апр;16.40;;120874;;
47242;1;2014;5;2401113;5.00;176.00;169.80;204.90;;120874;;
49543;1;2014;5;1091113;2.00;121.85;121.77;146.00;;6747;;
339;1;2014;5;В300465;5.00;145.51;146.74;174.00;;6747;;
66626;1;2014;5;10413;2.00;54.58;58.08;68.90;;6747;;
52315;1;2014;5;10114;3.00;153.99;149.50;180.00;;113682;;
14711;1;2014;5;F0141;2.00;988.45;1020.00;1168.00;;113682;;
195;1;2014;5;160913;10.00;22.70;18.92;24.50;;113682;;
11212;1;2014;5;А56873;1.00;175.22;197.99;233.00;;14579;;
17933;1;2014;5;90414;2.00;65.85;65.34;78.50;;16583;;
66690;1;2014;5;34380;1.00;672.32;621.94;720.00;;16583;;
93;1;2014;5;40214;30.00;июн.62;июн.82;авг.40;;май.45;;
30383;1;2014;5;1001013;10.00;36.32;33.66;42.50;;6747;;
48071;1;2014;5;10114;10.00;38.92;45.10;54.00;;6747;;
48085;1;2014;5;100613;10.00;24.54;28.38;34.00;;6747;;
46629;1;2014;5;91013;1.00;372.10;300.41;374.00;;6747;;
68508;1;2014;5;16081111;1.00;270.73;290.40;344.00;;6747;;
15;1;2014;5;10114;5.00;18.55;20.фев;24.60;;6747;;
9942;1;2014;5;115302;2.00;216.21;223.74;266.00;;6747;;
49893;1;2014;5;Е3018;2.00;38.07;39.16;48.60;;6747;;
22662;1;2014;5;1680813;20.00;27.35;22.55;29.00;;6747;;
4196;1;2014;5;33077;2.00;98.33;89.52;109.00;;6747;;
47988;1;2014;5;345917;2.00;240.90;249.02;297.00;;2581;;
25154;1;2014;5;V19135;3.00;128.50;125.60;151.00;;2581;;
276;1;2014;5;V19054;5.00;73.55;71.53;86.00;;2581;;
41887;1;2014;5;ТА1113;5.00;121.14;119.12;143.00;;2581;;
17976;1;2014;5;80214;2.00;124.44;98.89;123.70;;6747;;
16;1;2014;5;291013;10.00;15.00;16.35;20.00;;113682;;
52326;1;2014;5;333277А;2.00;230.07;229.61;275.00;;2581;;
68284;1;2014;5;130314;5.00;26.79;31.00;37.70;;14579;;
42233;1;2014;5;1201012;2.00;219.82;186.00;229.00;;6747;;
63324;1;2014;5;100413;10.00;авг.82;окт.23;дек.40;;июн.18;;
30803;1;2014;5;Т29408А;2.00;213.25;210.54;250.00;;6747;;
630;1;2014;5;СМ70312;6.00;135.30;146.85;173.00;;6747;;
48439;1;2014;5;N49987;50.00;51.37;53.24;63.50;;6747;;
36409;1;2014;5;470214;2.00;397.68;380.71;450.00;;6747;;
25703;1;2014;5;811113;100.00;5.00;05.дек;июн.36;;113682;;
316;1;2014;5;23012014;2.00;440.56;441.69;529.00;;2581;;
13754;1;2014;5;32750913;2.00;257.99;243.27;294.00;;2581;;
22168;1;2014;5;40414;10.00;30.72;31.00;38.60;;6747;;
26120;1;2014;5;110114;10.00;34.14;33.86;42.00;;6747;;
49476;1;2014;5;20314;5.00;114.90;103.71;126.00;;6747;;
49477;1;2014;5;10114;5.00;69.15;65.88;79.00;;6747;;
56;1;2014;5;280314;30.00;8.00;авг.28;окт.30;;6747;;
66800;1;2014;5;OK40S5;1.00;592.79;618.49;700.00;;6747;;
18809;1;2014;5;160314;5.00;27.85;32.31;39.26;;14579;;
109;1;2014;5;2111113;20.00;47.41;54.46;70.00;;113682;;
66083;1;2014;5;N45334;2.00;130.84;135.20;177.00;;6747;;
195;1;2014;5;DV8462;2.00;314.53;311.20;411.00;;6747;;
49429;1;2014;5;934020;2.00;557.16;597.40;740.00;;6747;;
47397;1;2014;5;100414;5.00;92.40;86.80;115.00;;6747;;
66803;1;2014;5;33028;5.00;59.84;55.54;74.00;;120874;;
19800;1;2014;5;150913;20.00;апр.70;май.42;июл.20;;дек.30;;
